,lyrics,isBad
230,一种豺狼 披着 不同种类的皮,0
231,我脑中浮现出 你告诉我 解决不了的迷,0
232,好为人师的假绅士总是擅自装先知,0
233,道德绑架人质的你 贪吃贪吃,0
234,但我从不服从安置 而燕雀安知 鸿鹄之志,0
235,写史诗 我的歌词靠知识,0
236,我的计划不搁置 打开车门的警报,0
237,看你是否真的敢为理想殉道,0
238,及格我一百你六十 我熊市是你的牛市,0
239,我洗掉你这块油渍 我生活是我的缪斯,0
240,我只在不惑里求知 请叫我普罗米修斯,0
241,我给你开电梯门进来楼层不要比我低,0
243, Back to back 我在 火灾 现场安全着陆,0
245, 熟透的flow 声色不露 的gold mode 等待XZT drop the bomb,0
246, 我对神敬仰有信仰 不是muslin or monk,0
247, 物质不令我迷茫 歌词不复制 是原创,0
248, 不用任何人护着 不和fakers穿一条裤子,0
249, 讲究真实不讲故事 回头看墙壁上的数字,0
251, Chuck Zigga Jiang超级 讲义气 Feezy不回忆,0
252, King XZT硬着头皮 身处这个游戏,0
254, 拿出手机 放几首SFG的diss,0
257, 说唱用的是嘴巴不是链子,0
258, 没有链子 没有限制 只有偏执 只有面子,0
259, 说要看清楚自己但是你的镜头前置,0
263,电视随便放什么我要看到现实,0
264,不当骗子 长好见识 棺材里的歌不变质,0
265,说爱你 爱你 在一起 就go with u,0
266,说真的 真的 marry me  oh  my super nice girl  x2,0
267,很开心睁开双眼看到她在我的怀里,0
268,我只想安静的看着她 真的离不开你,0
269,这样动都能不想动 偷偷的被掌控,0
270,准备好了放下一切跟你一起走,0
271,想法特别简单 也只有你能懂,0
272,不用太多文字 也不用太多表示,0
273,虽然爱就一个字但想对你,0
274,不善言辞  偶尔会让你失望,0
275,可我只想用心把它写在洁白的纸上,0
276,没有敷衍 也不会出现搪塞,0
277,你知道你不喜欢的事情 我来不会都不强迫,0
278,开心我陪你笑,0
279,无聊我陪你闹,0
280,感觉太微妙,0
281,将你紧紧抱,0
282,这不是一场游戏 需要紧紧靠,0
283,说爱你 爱你 在一起 就go with u,0
284,说真的 真的 marry me  oh  my super nice girl  x2,0
285,我的每次失落 你总告诫我努力,0
286,再每天的清晨都会收到你的鼓励,0
287,我想你也许是老天爷赐给我的天使,0
288,只要有你出现爱从来没有停止,0
289,一切也许是巧合 这样让你我相遇,0
290,在秋天的傍晚 好像刚过了雨季,0
291,你扬起的嘴角 像黑夜中的火炬,0
292,爱你很危险 可我早不想躲避,0
294,累了有你背我走,0
296,想想和你白发的时候   x2,0
297,我爱你 爱你 在一起 就 go with u,0
298,说真的 真的  marry me oh  my super nice girl  x2,0
299,爱你  爱你  just go with u,0
300, 爱你  爱你  nice super girl,0
301,活了18年我给无数个人写过歌,0
302,I remember 那个年少的我,0
303,那些让我爱的恨得赢的输的,0
304,和那些让我长大的女孩的青涩,0
305,那时候不懂什么叫做爱与被爱,0
306,总是得到伤心加上冷漠,0
307,我妈教我如何振作所以这,0
308,最重要的一首歌 我写给我的妈,0
309,她是我心中的茉莉花,0
310,我妈生我的时候 肚子上开过刀,0
311,强撑着痛苦听到我哭声后才敢晕倒,0
312,所有人都围着我但是她却被人冷落,0
313,没有人注意到她才是我真正的制造者,0
314,一个女人扛着家 千斤担子压着她,0
315,我也曾怀疑为什么她会嫁给我爸,0
316,我甚至怨过为什么我爸没有骨气,0
317,本是男人的使命却丢给我妈所有压力,0
318,小时候睡觉前 妈给我讲的童话故事,0
319,每一个故事都是给我成长的种子,0
320,那时候我搞不懂什么是农夫与蛇,0
321,到现在妈是农夫有时候我就是那条蛇,0
322,我后悔惹她生气 她对我付出不求回报,0
323,18年的细心教导让我能在社会上落脚,0
324,这一段歌词是我回报你教我的感恩,0
325,我是迷失船只 妈就是黑暗中的一盏灯,0
326,面对我的希望 每次我给你的失望,0
327,但你希望我不要失望 再一次给我期望,0
328,我妈就像个战士 她什么都不怕,0
329,但是她会担心我 当我每一次离开家,0
330,青春期的我不听劝导 叛逆让我以为我已经长大,0
331,后悔让你皱纹变多 让黑发变成白发,0
332,我以为自己总是对的 认为你不理解 不懂我,0
333,当我发现我错了感谢你还在我的背后,0
334,我总是想证明自己所以把事情给夸大,0
335,因为所有孩子都想成为大人们的骄傲,0
336,人生会有很多挫折 上帝希望你成长,0
337,您总会交代我要在失败中去吸取营养,0
338,我的梦想尽管付出不一定有回报,0
339,但是我想要努力能够把我梦想达到,0
340,所以我的妈妈请你不要感到焦躁,0
341,我会像所有人证明我是你最大的骄傲,0
342,很多的时候我发现自己会迷失方向,0
343,感谢你在我不知所措时给与我的光亮,0
344,那么家的避风港 再苦再难也温暖,0
345,因为我习惯了在您的庇护下去生长,0
346,如果我有翅膀的话 妈 我一定带你飞,0
347,如果我有梦想的话会不会来陪我追,0
348,如果您变老了我会在你身边照顾你,0
349,让我陪着你不会感到孤单和不安,0
350,旅途中的游子 被遗忘的浪子,0
351,赶快回头因为你还有一个家,0
352,叛逆的孩子 那能不能回去陪陪他,0
353,就算你什么都没有至少你还有一个妈,0
354,就算我完成了所有的梦想我也会把我妈带上,0
355,因为孩子是原上草 妈就是东升的太阳,0
356,就算我完成了梦想我也会把妈带上,0
357,因为孩子是原上草 妈就是东升的太阳,0
358,有得到也有失去,0
359,平凡的一年,0
360,还记得在最初,0
361,送给自己的承诺,0
362,没想到在结束的时候,0
363,却只剩沉默,0
364,告诉镜子里的他,0
365,你已经不小了,0
366,要学会衡量,0
367,什么才是最重要的,0
368,你可以无畏地宣泄,0
369,内心的愤怒,0
370,向天空大声呐喊,0
371,我要走自己的路,0
372,去追自己想要的,0
373,痛哭也欢笑着,0
374,没有什么好担心的,0
375,勇敢地奔跑着,0
376,我还年轻我要过把瘾,0
377,直到一阵冰冷的大雨,0
378,把我打醒,0
379,我以为能够把握好,0
380,自我的命运,0
381,能够拥有她是我最大的幸运,0
382,当一切回到原点,0
383,我才开始反省,0
384,是不是只有伤痛,0
385,才能将自己唤醒,0
391,我离他越来越远越来越远,0
394,我沿着你我走过的路,0
395,一直地走,0
396,只是没有你在身边牵我的手,0
397,回忆着说过的那些亲密的话,0
398,可惜我不是你想要的,0
399,那一个他,0
400,你说你要去那个很远的地方,0
401,那座城市是你心灵的去向,0
402,还以为这些是,0
403,你跟我开的玩笑,0
404,原来我在你心里,0
405,并没那么的重要,0
406,我还傻傻地去追你远去的车,0
407,你离开后我重复,0
408,听着你喜欢的歌,0
409,或许是为了营造一种,0
410,你还在的幻觉,0
411,当世界恢复安静,0
412,梦也随之幻灭,0
413,就这样我学会了自言自语,0
414,就这样我终于认识了自己,0
415,那本已经翻到,0
416,最后一页的日历,0
417,就像现在的我,0
418,即将燃烧成灰烬,0
424,我离他越来越远越来越远,0
427,这世界很大我很小,0
428,口袋里却装着数不清的问号,0
429,生命的过程中有无数的困扰,0
430,而我得到的答案却很少很少,0
431,这世界很大我很小,0
432,口袋里却装着数不清的问号,0
433,生命的过程中有无数的困扰,0
434,而我得到的答案却很少很少,0
443,这城市那么美 你却落下了眼泪,0
444,我知道你很累 怪我不懂错与对,0
445,逞强的不后悔 回忆全部烧成灰,0
446,除非一夜宿醉 不然不会说出sorry,0
447,想问你my babe 明天我怎么面对,0
448,每一个派对 你曾就在我周围,0
449,我喝的太醉 过得一点不ok,0
450,讨厌的事你都做所以我什么也不会,0
451,确定你不会 走,0
452,如果我松开 口,0
453,每当夜深人静只有我的时候,0
454,我的衣袖 全都湿透,0
457,我们的距离变的 那么远,0
460,摔破的镜子到底 怎么圆,0
461,一个人走在陌生却最熟悉那条街,0
462,无助的背影渴望时间过的快一些,0
463,回家的路上还是经过哪家便利店,0
464,除了你不在我身边其实一切都没变,0
465,一群人在夜店五彩灯光下狂欢,0
466,一个人格格不入表现的很难堪,0
467,朋友再劝 跟她再见 不要再恋,0
468,嘴上愉快的答应可是内心却步履蹒跚,0
469,其实我承认 根本没反悔的必要,0
470,只是我遗憾 没划上完美的句号,0
471,学着慢慢习惯 时间会贴出预告,0
472,走过下一段 可能或许还会遇到,0
473,自己都嫉妒我们 是多般配,0
474,一直记住你走的 赤裸干脆,0
475,拿着你的照片亲吻忘记你的心狠 眼神冰冷,0
476,恍然大悟原来是在自我安慰,0
479,我们的距离变的 那么远,0
482,摔破的镜子到底 怎么圆,0
483,如果开头就是 错的,0
484,命中注定的 过客,0
485,如果能拥有马良神笔改变结局的作者,0
486,篡改故事结尾 抛下闭嘴不挽留的弱者,0
487,放下自私互相给予不一味的等待获得,0
488,选择机票换个城市却不知道去哪躲,0
489,你和我的回忆放在心底套上密码锁,0
490,时间不多清楚很快可能又要离开这,0
491,放下仇恨的心里衷心的希望你快乐,0
492,收到一条简讯 这一次不去无视你,0
493,算不算新的险境 我旁边睡的不是你,0
494,你的技巧又有几人会 诱惑我智力与纯粹,0
497,谈到了对方时的笑容也已成泪,0
498,还记得那个少年不务正业钻研说唱学还不上,0
499,他只是想为你写首情歌 别来无恙,0
500,怎么突然之间不知道,0
501,该怎么面对面,0
502,不知道怎样表达自己适应你的改变,0
503,怎么才会让自己更能靠近你的身边,0
504,我忘了怎样呼吸,0
505,甚至忘了现在的时间,0
511,曾经我落下眼泪,0
512,现在你来帮我捡,0
513,我想得很简单 清晨起来,0
515,就是这样一直不断给你,0
516,输入能量源,0
517,在你心情不好的时候才有电,0
518,担心你会被骗,0
519,把你心愿都实现,0
520,把生活负能量都赶走,0
521,充实着每一天,0
522,按你的要求,0
523,家里有属于你的房间,0
524,我也想每天醒来都能看见你,0
525,监督每天早睡不让你有黑眼圈,0
526,虽然你总是吵闹在我耳边,0
532,曾经我落下的眼泪,0
533,现在你来帮我捡,0
534,我想的很简单 清晨起来,0
535,有你在我身边,0
536,一次就够,0
537,就让我把你抓住,0
538,不管过去怎样,0
539,反正我是你的以后,0
540,你所有的安全都由我来保护,0
541,在你需要拥抱的时候给你温度,0
542,我不会让你受到伤害,0
543,愿当你的光,0
544,给你我的心牵你的双手,0
545,站在你身旁,0
546,不管未来怎样未知,0
547,你也不要惊慌,0
548,所有你不喜欢做的都有我来挡,0
549,时间 再走,0
550,生活也是简单,0
551,你想要的都拿去只要你喜欢,0
552,我愿意为你去改变,0
553,做你的后盾给你安全感,0
554,不管是以前是以后现在,0
555,都还不算是太晚,0
556,脑海里已经粘贴你的各种模样,0
557,从没有过的认真,0
558,除了你我都不要,0
559,喜欢你的调皮喜欢你对我笑,0
560,我的肩膀也只留给你一个人靠,0
566,曾经我的谁的眼泪,0
567,现在你来把我牵,0
568,我想的很简单 情撑起来,0
570,我从来都不信关于那些神秘的算式,0
571,也从来不会花言巧语在你身上复制,0
572,在我的面前不需要你任何的修饰,0
573,确定你就是我心上的那一颗痣,0
574,你担心的所有问题,0
575,我可以说我不会,0
576,你说你不会哪些,0
577,那些也不需要你会,0
578,我说的都是真的谁让你对我的味,0
579,全无所谓,0
580,你最珍贵,0
581,我承认你是我遇到的最美的梦,0
582,害怕惊吓到你还怕别人触碰,0
583,对你止不住的好一点,0
584,又总觉得不够,0
585,你是我拼图里不可缺少的拼凑,0
586,只要你能在我身边我全部都承受,0
587,你所有的好与不好我都可以接受,0
588,我愿意为你加誓,0
589,对你永远保护,0
590,只要有我你就不会再迷路,0
591,yeah 有没有想过,0
592,如果一切可以重来 你的选择 会是什么,0
593,你眼前看一到切 的已经不可能 再 回 头,0
594,不要怀疑 接下来就是我想说的 你们听着,0
595,每天新闻都在播 每条街都有人说,0
596,2012真的来了你到底有没有想过,0
598,突然降临大火 一切在火中埋没,0
599,这是位于哪里的地震报到,0
600,那是一帮失去家的孩子的惊声尖叫,0
601,每当我看到这个景象 我内心纠结沮丧,0
602,我愤怒地举起双手想要和上天对抗,0
603,如果在这个世界只剩下最后的一秒,0
604,你会选择逃跑 还是要选择洗好你的脖子,0
606,等待中每一刻 时间它被切割,0
607,残酷地推着我 慢慢地走过,0
608,我们活在恐吓 过程中的折磨,0
609,我想你告诉我 要怎么活,0
610,上帝给我打了一通电话 建议我们别再自说自话,0
611,我说谢谢你的好意 但根本就不会有人理你,0
612,我们只想要自己顾着自己放纵自己的私欲,0
614,难道就没人听得出 其实它们都在哭,0
615,我真的不想认输 承认我们无助,0
616,还相信 没关系 上天会给我勇气,0
618,海啸还有风暴 魔鬼在向你拥抱,0
619,见到了棺材以后你才知道 泪水的味道,0
620,最后的祈祷 在2012的最后一秒,0
621,等待中每一刻 时间它被切割,0
622,残酷地推着我 慢慢地走过,0
623,我们活在恐吓 过程中的折磨,0
624,我想你告诉我 要怎么活,0
625,生命的讨论我不幸参与,0
626,愤怒是单曲我做了专辑,0
627,我盯着城市里闪烁的霓虹,0
628,骂这精彩于我有何关系,0
629,有个很爱我的妈妈,0
630,讲就当你没有过爸爸,0
632,很多时候 我会反击,0
633,痛扁 重点 让他下次放尊重点,0
635,哪怕有时怒气冲天 让别人都评论我疯癫,0
636,以牙还牙的童年 童颜从没变依然像从前,0
638,好多权威者把你当小丑 又有好多既得利益 笑你好low,0
639,俗话讲 退步海阔天空要稳着走,0
640,但我偏要跟深夜拥抱和漆黑吻个够,0
641,又在恨什么,0
642,又责怪什么,0
643,纵你反复揉搓,0
644,伤口难愈合,0
645,你想有人偷过你的梦,0
646,有人刺了你的痛,0
647,既然混沌无泽,0
648,那染成黑色,0
649,作弊的比赛我糊涂参加,0
650,情怀就像家珍骗子看家,0
651,我盯着满世界耀眼的繁华,0
652,想这浮夸到底几度掺假,0
653,予你开心叫我宝宝,0
654,予你异见上我镣铐,0
655,小人以为我拿他没办法,0
656,光脚不惧穿鞋我有何怕,0
657,走哪 瞅哪 哪里发言都要筹码,0
658,偏我不是那种走马观花 你发卡就收卡,0
660,好像谁都是我仇家 好像不愿意把人手拉,0
661,只是好多变节 好多臣服 好多简单变得满是城府,0
663,有人说 人生得饶一处是一处,0
664,然后转身在黑夜对戏演一出是一处,0
665,又在恨什么,0
666,又责怪什么,0
667,纵你反复揉搓,0
668,伤口难愈合,0
669,你想有人偷过你的梦,0
670,有人刺了你的痛,0
671,既然混沌无泽,0
672,那染成黑色,0
673,恨什么,0
674,怪什么,0
675,反复揉搓,0
676,伤口难愈合,0
677,你想有人偷过你的梦,0
678,有人刺了你的痛,0
679,既然混沌无泽,0
680,那染成黑色,0
689,喔 我们一起看着星空好轻松,0
690,车里玩的小游戏你听从像井空,0
691,你的购物车我全都清空响叮咚,0
692,在京东买丘比特当听众,0
693,每天晚安 之前搭配晚餐,0
694,你的笑容 灿烂好像会反弹,0
695,变得贪婪 找不到你的翻版,0
696,全部韩剧 看完再陪你贪玩,0
697,这个秘密,0
698,不用证明,0
699,我比他们都优秀,0
700,你仔细听,0
701,播放世界,0
702,坏情绪全部收走we gotta go,0
711,我开我的敞篷车准时找你,0
712,可能之前就是因为太过着迷,0
713,如果他真的每天能够给你惊喜真的情意我会把你封在我的心底,0
714,baby 感情不该被第三者封喉,0
715,想牵着你的手,0
716,再带你一起走,0
717,我希望你懂我给的每个温柔,0
718,这个秘密,0
719,不用证明,0
720,我比他们都优秀,0
721,你仔细听,0
722,播放世界,0
723,坏情绪全部收走we gotta go,0
735,你换上制服拿起教鞭丢我粉笔,0
736,这感觉so dope 像用了coco,0
739,我才不管你是谁的babygirl,0
740,这个秘密,0
741,不用证明,0
742,我比他们都优秀,0
743,你仔细听,0
744,播放世界,0
745,坏情绪全部收走we gotta go,0
754,都怪我,0
756,丢掉我,0
761,故事的开端 有一个男孩,0
762,他怀揣着梦想来到这座城市的站台,0
763,直到一天理想惨白 被现实惨败,0
764,才发现 原来 生活 是这么难捱,0
765,他开始逃离这座城市的压抑 释放压力,0
766,却发现悲伤时刻都在加剧,0
767,他背起行囊 在离家很远的地方流浪,0
768,让走过的每寸土壤吸 收着他的忧伤,0
769,从北纬三十度的东方一路向西 浪迹,0
770,在天涯的每个角落留下他的足迹,0
771,在离家六千里的沙漠独自仰望星空,0
772,有太多的烦恼心事偷偷藏在他的心中,0
773,他和许多陌生人 诉说他的过往,0
774,试图让曾经的人和事 在他生命中走个过场,0
775,他在地图上把走过的地方全部都连在一起,0
776,却发现 从头到尾都没有找到真正的自己,0
787,没错 五年又一晃 而过 他依旧赚得 不多,0
788,没过得体 面他每年回 乡也不 说,0
789,话不多 他习惯了沉默寡言 呆角落,0
790,差不多 被忽视排斥在边缘 被冷落,0
791,同事都笑他活得像个乡野游 民,0
792,他从不关 心也不懂当下什么正在 流 行,0
793,他的手机破旧没有微博微信,0
794,他的收入杯水车薪 他的衣着受人诟病,0
795,其实他无所谓这样的生活无关错对,0
796,即使一整座城市没有属于他的座位,0
797,即使一生他只能挤在十平米的毛坯,0
798,挂瓦墙上的地图画满他流浪过的方位,0
799,无人知道他徒步 走过几万公里的路,0
800,从日出驻足 到日落余晖布满山涧与枯树,0
801,他从不 被生计网住 名利罔顾,0
802,他 一个人上路,0
813,当流浪 变成一种习惯,0
814,孤单 日夜在身旁陪伴,0
815,只有他的影子和他自己成为各自的一半,0
816,拖着疲惫的身心,0
817,他也时常怀念那些曾经的真心,0
818,可 时至今日,0
819,唯有流浪,0
820,才能寻得他的真经,0
831,How we do? 他们一直后悔,0
833,Fresh tape的克林都是dei派对的game,0
856,花掉所有的money 带着自己去出游,0
857,记录旅途的经过像是牵着你的手,0
858,盯着海边的bikini脱掉外套,0
859,我把身体藏进沙滩女生拉起警报,0
860,跟随着航班起飞降落,0
861,到达陌生的城市 its my new life,0
862,喜欢用蹩脚的当地语跟原住民打招呼,0
863,会买当地的蓝罐头PEPSI 把能量加满,0
864,虽然对我 时间紧凑,0
865,会把所有人事物记进脑中 用记忆拼凑,0
866,带着墨镜去到海边参加世界性bikini show,0
867,就算朝我看朝我走来都是我不够主动,0
868,oh babe 你都名花有主,0
869,如果可以认识你 想带你去吃seafood,0
870,要是可以 精油往你身上涂,0
871,我是你的坏小孩 做我的玛丽莲梦露,0
876,所以请你带着我,0
877,带你去靠海的city,0
878,真的可以带着我,0
879,我想你会一直的陪我,0
880,所以请你抱着我,0
881,不会迟到带你兜风,0
882,真的可以抱着我,0
883,我会带你走,0
884,早起的温度刚刚好带耳机我抽着烟,0
885,在桌上留下小费出门找哪里有便利店,0
886,想收集每个地方稀奇的小玩意,0
887,想遇到昨天那个女孩有什么好主意,0
888,旅行做攻略 不无聊 不熟练,0
889,打车下个地点 我飞去你身边,0
890,讲真  偷拍你照片 总记着你身线,0
891,坐在沙滩酒吧 想跟你见面,0
892,oh babe 我们来自不同的国度,0
893,旅行看风景想记住这个时刻不重复,0
894,沙滩只剩下我 吹着海风,0
895,把你记进我的旅行日记 我想你都懂,0
900,所以请你带着我,0
901,带你去靠海的city,0
902,真的可以带着我,0
903,我想你会一直的陪我,0
904,所以请你抱着我,0
905,不会迟到带你兜风,0
906,真的可以抱着我,0
907,我会带你走,0
916,所以请你带着我,0
917,带你去靠海的city,0
918,真的可以带着我,0
919,我想你会一直的陪我,0
920,所以请你抱着我,0
921,不会迟到带你兜风,0
922,真的可以抱着我,0
923,我会带你走,0
924,我知道这个道歉过了太久,0
925,当时的紧握在手,0
926,多希望时间快走,0
927,曾以为能到白头,0
928,把你放在我身后,0
929,帮你遮挡所有难题还有那些争斗,0
930,你曾说我没骨气,0
931,现在我一直在努力,0
932,每一步都嵌入土地,0
933,用麦克风当做武器,0
934,但生活并不如意,0
935,大概我没学会独立,0
936,分手就像是个伏笔,0
937,我成为自己的奴隶,0
938,我知道我是大坏蛋,0
939,一起憧憬的图是我画太烂,0
940,当你挽着另一个人 呆在另一个门 接着另一个吻,0
941,大概我没他耐看,0
942,我开始每晚浑浑噩噩不停寻找解药,0
943,把所有和你相关的东西都全部撇掉,0
944,总感觉这种剧情好像哪本书有写到,0
945,就好像睡了很长一觉,0
946,结束的又莫名其妙 但是,0
947,虽然回忆每时每刻都在不停闪烁,0
948,你也曾告诉我成熟就是不能软弱,0
949,可是未来真的难说 就趁我还没玩脱,0
950,我坚强的性格突然开始变得懒惰,0
951,你曾为我不惧万里,0
952,我也穿过枪林弹雨,0
953,还太天真的我认为幸福只要行动就能换取,0
954,我开始向你迈进 直到离得太近,0
955,现在我也只能慢慢看它消失殆尽,0
956,lie to my self 这都只是演戏,0
